,0,1,2
58,6332620.101210371,16276097.533773812,2427824.69637107
59,2572678.8408402363,16535247.652015459,9532681.596264433
60,5009359.998894719,12271980.501163734,32419068.80510751
61,19462628.307039704,33305781.314077906,25146662.29887269
62,18930697.92248238,79343115.71270992,16513279.21526202
63,15679667.795643944,17580635.1530733,16040592.725378394
64,9632566.078281386,41393708.71465992,12107299.154328723
65,14192774.19386901,4982985.704362845,20134290.139824964
66,26861686.884997837,10425389.117260847,19070546.631100185
67,16037352.686253212,23782492.63448014,14869674.435790183
68,20360240.83675854,5785616.081184905,57969914.6532917
69,24605963.607542038,27662549.425059315,19359472.12339615
70,8121058.262937409,13796825.524818063,4379983.131157851
71,14101656.578491898,17024166.440039966,23953748.78223535
72,22751337.814834226,24296591.034824736,10463639.879589073
73,34640111.25806223,16162212.628096305,10029228.854561085
74,12801633.32317941,9417538.783751536,27456396.042381562
75,3759101.717913442,20784880.89005022,2942210.5893059336
76,14927190.846842563,15966365.181325646,2489534.0076690204
77,62479039.545951106,29490873.08022474,9858333.959637357
78,9450931.217489563,5876899.6014620075,32346093.394914273
79,12404993.958187478,10322626.935141014,9080480.387018342
80,25476216.19159236,6065846.745646739,9933313.79824104
81,17325138.877065055,3687129.1383652166,1955839.7178172516
82,7737009.617118074,33663463.46674883,2754138.277046737
83,19069073.109339707,26039936.913374305,33533658.519812558
84,295474325.1281885,292136649.97721547,445571028.27048486
85,144437844.5617521,137300328.71619567,161944691.12516916
86,4723064.03976911,40907320.30051605,2267311.1810673373
87,12135119.737258254,16216652.174034756,33271793.98249155
88,8230152.391384599,47671898.436117575,20854058.72841711
89,3599743.019619491,37801049.30403411,6808456.592436078
90,2598174.8522652164,11347803.675878704,11347838.432444468
91,12556062.558868866,16260270.343578607,2444536.370659565
92,11538238.171707371,21481754.730782498,12643182.641176473
93,2215780.8076719856,1774338.9290853716,79518712.7326288
94,9315297.387542615,4797906.963684169,16216493.984135468
95,7170689.21133426,25098818.279258918,9199141.954641892
96,8067517.448149162,58856157.034946546,29929969.235430673
97,1787811.9488892136,19059316.518593743,4733008.213962344
98,15175894.152698858,24496519.84845553,6149159.696350932
99,16065624.000002373,11543904.353265049,32143996.615754858
100,21801057.660820473,24152778.10276283,21600602.66457443
101,15297144.137553401,3179868.321363498,8093593.2992493855
102,19231729.158504173,14288719.053898185,10508628.987874148
103,26154012.58153242,8300824.426300546,11099813.651976876
104,19047923.98614024,32597867.93151773,41476631.54896294
105,25804280.649941117,8832558.883133642,30873079.676263183
106,31065427.575009257,4199472.456848566,16025243.371660523
107,31403881.73215184,4499424.479874946,6928963.101589857
108,15020854.967700956,4124862.5804929556,5321253.6125711715
109,23348567.01425088,33640459.39878275,9155898.243606195
110,3279048.0243576625,17121292.900225807,24708365.59418913
